name,country,institution,dblp,pid,final_url,expertise
arnab bhattacharya,india,iit kanpur,https://dblp.org/pid/48/2626-1.html,48-2626-1,https://dblp.org/pid/48/2626-1.html,2
barna saha,united states,"university of california, berkeley",https://dblp.uni-trier.de/pers/s/Saha:Barna.html,66-3027,https://dblp.uni-trier.de/pid/66/3027.html,1
barzan mozafari,united states,university of michigan,https://dblp.org/pers/m/Mozafari:Barzan.html,45-2495,https://dblp.org/pid/45/2495.html,4
batya kenig,israel,technion,https://dblp.org/pid/83/11148.html,83-11148,https://dblp.org/pid/83/11148.html,1
behrooz omidvar-tehrani,united states,amazon,https://dblp.org/pid/200/8321.html,200-8321,https://dblp.org/pid/200/8321.html,2
ben carterette,united states,spotify,https://dblp.uni-trier.de/pers/c/Carterette:Ben.html,61-5238,https://dblp.uni-trier.de/pid/61/5238.html,1
ben kao,hongkong sar,university of hong kong,https://dblp.org/pid/k/BenKao.html,k-BenKao,https://dblp.org/pid/k/BenKao.html,5
beng chin ooi,singapore,nus,https://dblp.uni-trier.de/pers/o/Ooi:Beng_Chin.html,o-BengChinOoi,https://dblp.uni-trier.de/pid/o/BengChinOoi.html,5
benjamin hattasch,germany,tu-darmstadt,https://dblp.org/pid/218/5225.html,218-5225,https://dblp.org/pid/218/5225.html,5
benny kimelfeld,israel,technion,https://dblp.org/pid/74/3195.html,74-3195,https://dblp.org/pid/74/3195.html,8
bernadete loscio,brazil,universidade federal de pernambuco,https://dblp.org/pid/51/6689.html,51-6689,https://dblp.org/pid/51/6689.html,6
bernd amann,france,universit pierre et marie curie,https://dblp.org/pers/a/Amann:Bernd.html,a-BAmann,https://dblp.org/pid/a/BAmann.html,2
bertram ludascher,united states,university of illinois,https://dblp.org/pid/l/BertramLudascher.html,l-BertramLudascher,https://dblp.org/pid/l/BertramLudascher.html,4
bettina kemme,canada,mcgill university,https://dblp.org/pid/k/BettinaKemme.html,k-BettinaKemme,https://dblp.org/pid/k/BettinaKemme.html,6
